id,keyword,location,text,target,text_clean
5407,fire%20truck,,'Choose to be happy. Fire truck the rest.' http://t.co/tAmRCWfYgd ????? Review of Kick Push by @JayMcLeanAuthor,0,'Choose to be happy. Fire truck the rest.' http://t.co/tAmRCWfYgd ????? Review of Kick Push by @JayMcLeanAuthor
6759,lightning,USA,Phones Offers &gt;&gt; http://t.co/bYtbZ8s5ux #034 8-Pin Lightning Connector 2.1A Car Charger For Apple 5 5S 5C 6 6+ iPÛ_ http://t.co/o3wVScLiCX,0,Phones Offers &gt;&gt; http://t.co/bYtbZ8s5ux #034 8-Pin Lightning Connector 2.1A Car Charger For Apple 5 5S 5C 6 6+ iPÛ_ http://t.co/o3wVScLiCX
3723,destroyed,"MontrÌ©al, QuÌ©bec",The grenade sound effect on 'Impossible' just destroyed about 10 other hoes careers ??,0,The grenade sound effect on 'Impossible' just destroyed about 10 other hoes careers ??
421,apocalypse,,RT: ZONEWolf123: I liked a YouTube video http://t.co/u66kYg11ZD Minecraft: NIGHT LUCKY BLOCK MOD (BOB APOCALYPSE WITHER 2.0 &amp; MORE!) MoÛ_,0,RT: ZONEWolf123: I liked a YouTube video http://t.co/u66kYg11ZD Minecraft: NIGHT LUCKY BLOCK MOD (BOB APOCALYPSE WITHER 2.0 &amp; MORE!) MoÛ_
6338,hostages,,@hannahkauthor Read: American lives first | The Chronicle #FreeAmirNow #FreeALLFour #Hostages held by #Iran #IranDeal http://t.co/gWnLHNeKu9,1,@hannahkauthor Read: American lives first | The Chronicle #FreeAmirNow #FreeALLFour #Hostages held by #Iran #IranDeal http://t.co/gWnLHNeKu9
1886,burning,,@JohnsonTionne except idk them?? it's really burning ??????,0,@JohnsonTionne except idk them?? it's really burning ??????
10457,wild%20fires,USA,@SenFeinstein   Thanks Sen. Feinstein now hurry home because California is a huge uncontrolled wild fire. Lightening is starting new fires.,1,@SenFeinstein   Thanks Sen. Feinstein now hurry home because California is a huge uncontrolled wild fire. Lightening is starting new fires.
3796,destruction,,So you have a new weapon that can cause un-imaginable destruction.,1,So you have a new weapon that can cause un-imaginable destruction.
10446,wild%20fires,,God forbid this is true #California has enough problems with severe #drought &amp; #wild fires. http://t.co/CMsgexM4FC #Nuclear Power #SanOnofre,1,God forbid this is true #California has enough problems with severe #drought &amp; #wild fires. http://t.co/CMsgexM4FC #Nuclear Power #SanOnofre
3646,desolation,Chile,"Fear and panic in the air
I want to be free
From desolation and despair
And I feel like everything I sow ? http://t.co/iXW2cUTk1C",0,"Fear and panic in the air
I want to be free
From desolation and despair
And I feel like everything I sow ? http://t.co/iXW2cUTk1C"
7587,outbreak,"Fukuoka, Japan",Families to sue over Legionnaires: More than 40 families affected by the fatal outbreak o... http://t.co/3hTJ2PypSg #News #check #follow,1,Families to sue over Legionnaires: More than 40 families affected by the fatal outbreak o... http://t.co/3hTJ2PypSg #News #check #follow
6534,injuries,USA,Enjoying a little golf this summer? Take care to avoid injury -- back and shoulder injuries can happen quickly http://t.co/f1R5ISBVks,1,Enjoying a little golf this summer? Take care to avoid injury -- back and shoulder injuries can happen quickly http://t.co/f1R5ISBVks
984,blazing,,Morgan Silver Dollar 1880 S Gem BU DMPL Cameo Rev Blazing MS+++++ High grade! - Full read Û_ http://t.co/IU9baFDXeY http://t.co/AphqU5SvET,0,Morgan Silver Dollar 1880 S Gem BU DMPL Cameo Rev Blazing MS+++++ High grade! - Full read Û_ http://t.co/IU9baFDXeY http://t.co/AphqU5SvET
631,arsonist,ss,@_Doofus_ @diamorfiend im jokin still cant be on moves:/,0,@_Doofus_ @diamorfiend im jokin still cant be on moves:/
501,army,,22.Beyonce Is my pick for http://t.co/thoYhrHkfJ Fan Army #Beyhive http://t.co/WvJ39a3BGM,0,22.Beyonce Is my pick for http://t.co/thoYhrHkfJ Fan Army #Beyhive http://t.co/WvJ39a3BGM
9309,survive,,3 Things All Affiliate Marketers Need To Survive Online - Every affiliate marketer is always... http://t.co/kPMYqUJSUE,0,3 Things All Affiliate Marketers Need To Survive Online - Every affiliate marketer is always... http://t.co/kPMYqUJSUE
4033,disaster,,@cncpts @SOLELINKS what a disaster - can't say I'm surprised,0,@cncpts @SOLELINKS what a disaster - can't say I'm surprised
628,arsonist,,@local_arsonist LMFAO,0,@local_arsonist LMFAO
10084,typhoon,,Obama Declares Disaster for Typhoon-Devastated Saipan: Obama signs disaster declaration for Northern Marians a... http://t.co/VTS9CAyiBC,1,Obama Declares Disaster for Typhoon-Devastated Saipan: Obama signs disaster declaration for Northern Marians a... http://t.co/VTS9CAyiBC
7126,military,"Ewa Beach, HI",We're #hiring! Read about our latest #job opening here: Registered Nurse - Call-in - Military Program - http://t.co/l0hhwB9LSZ #Nursing,0,We're #hiring! Read about our latest #job opening here: Registered Nurse - Call-in - Military Program - http://t.co/l0hhwB9LSZ #Nursing
1090,blew%20up,,I think I just blew up @HopeInHearts notifications. Go check her out she's so encouraging to me ???? love her ??,0,I think I just blew up @HopeInHearts notifications. Go check her out she's so encouraging to me ???? love her ??
7867,quarantined,USA,@__ScrambledEggs calling it now: KIA gets banned or quarantined before month's end,0,@__ScrambledEggs calling it now: KIA gets banned or quarantined before month's end
10331,weapon,USA,03/08/11: Police stop a 41-year-old in the Bronx citing 'casing a victim or location.' No weapon is found.,1,03/08/11: Police stop a 41-year-old in the Bronx citing 'casing a victim or location.' No weapon is found.
2047,casualties,everywhere ,"Revise the Death to America scenario? 

While there's 500 American casualties by Iranian activity SUSPECTED!!! http://t.co/drlKEbeYPi",1,"Revise the Death to America scenario? 

While there's 500 American casualties by Iranian activity SUSPECTED!!! http://t.co/drlKEbeYPi"
2299,cliff%20fall,,That sounds like a really bad idea I like Yoenis but I feel like his production could fall off a huge cliff.,0,That sounds like a really bad idea I like Yoenis but I feel like his production could fall off a huge cliff.
